,상품명_띄어쓰기_set,상품군,마더코드,상품코드
0,07 걸이 7 벽 ARC 에어컨 VBC 형 캐리어,가전,100068,200184
1,07 걸이 일 7 벽 ARC 에어컨 VBC 형 시불 캐리어,가전,100067,200174
2,07 무 이자 걸이 7 벽 ARC 에어컨 VBC 형 캐리어,가전,100067,200166
3,100 94엔 마스크 황사 매 웰스 KF 방역,생활용품,100316,201003
4,100 개 기피 떡 영광 동부 30 70 검정 生 깨 모시,농수축,100166,200576
5,1001 쇼퍼백 선 스틱 유플러스 에이 슈퍼,이미용,100362,201149
6,1004 최저가 선 스틱 유플러스 에이 슈퍼,이미용,100362,201150
7,105 방역 대형 크 황사 매 마스크 린조이,생활용품,100798,202361
8,105 방역 소형 크 황사 매 마스크 린조이,생활용품,100798,202362
9,1083 히터 P 한 BKH 미니 보국 세트 PR,생활용품,100136,200371
10,11 1083 히터 P 레드 화이트 BKH 미니 보국 PR,생활용품,100136,200366
11,11 110 쥐포 그 장 팩 옛날,농수축,100841,202484
12,11 5 면도기 페이스 도루 세트 코,생활용품,100791,202350
13,11 걸이 벽 ARC 에어컨 VBC 형 캐리어,가전,100068,200179
14,11 더블 아룬싸왓 구름 세트 라텍스 배개 천연,생활용품,100823,202423
15,11 만능 멀티 노와 세트 다지기,주방,100656,201984
16,11 멀티 벨라 스마트 홈 세트 포트,주방,100236,200806
17,11 무선 터 레이 르젠 써큘 세트,생활용품,100393,201269
18,11 베이직 4 단 랙 스피드,생활용품,100347,201086
19,11 벨라 걸이 옷 논 홈 세트 슬립,생활용품,100229,200801
20,11 삭루츠 바디백 TQ 크로스,잡화,100489,201472
21,11 에코라 믹 일리 데 세트 프라이팬,주방,100087,200233
22,11 자외선 차단 양산 노블 세트 레비,잡화,100365,201153
23,11 접이식 세트 테이블 마루 까사,생활용품,100135,200364
24,11 주얼리 종 D 3 K 생쥴랑 체인 입체 14 컬렉션,잡화,100031,200046
