,상품명_띄어쓰기_set,상품군,마더코드,상품코드
0,100 경제원장의 통 힘찬 선식 13 커 더 이 쉐이 박스,농수축,100669,202011
1,100 석류 총 제약 5 박스 광동,건강기능,100539,201620
2,11 18 생쥴랑 주얼리 컬렉션 베니스 K 종,잡화,100033,200049
3,11 라텍스 구름 세트 더블 배개 아룬싸왓 천연,생활용품,100823,202423
4,11 린 시 티 뉴 플러스 클레 니 처 메이커 그,주방,100658,201986
5,11 멀티 세트 노와 다지기 만능,주방,100656,201984
6,11 비데 뉴스 무료 노비타 파 일 제조 설치 국내 시불,생활용품,100501,201517
7,11 비데 이자 무 뉴스 무료 노비타 파 제조 설치 국내,생활용품,100501,201515
8,11 삭루츠 TQ 바디백 크로스,잡화,100489,201472
9,11 생쥴랑 D 주얼리 컬렉션 3 입체 K 체인 14 종,잡화,100031,200046
10,11 세트 도마 파뷔에 항균,주방,100478,201453
11,11 세트 칼 도마 파뷔에 항균,주방,100478,201452
12,11 세트 후라이팬 탈 로벤 핑크 블루 파스텔,주방,100725,202119
13,11 스마트 벨라 포트 멀티 세트 홈,주방,100236,200806
14,11 스마트 히팅맘 히터 리모컨 초특가,생활용품,100668,202010
15,11 신세대 kg 김치 포기,농수축,100795,202358
16,11 옷 벨라 걸이 세트 논 홈 슬립,생활용품,100229,200801
17,11 테이블 세트 접이식 까사 마루,생활용품,100135,200364
18,11 푸마 리스 심 니트 뉴 드로즈 스트레치 종,속옷,100610,201867
19,11 푸마 리스 심 드로즈 스트레치 종,속옷,100610,201883
20,11 푸마 셀 엣지 드로즈 썸머 드라이 패키지 종,속옷,100610,201951
21,1125 순금 24 g 더블 목걸이 링크 체인 999 K 루이띠에,잡화,100788,202318
22,1125 순금 24 g 볼륨 반지 999 K 루이띠에 샤인,잡화,100788,202320
23,1125 순금 24 g 팔찌 더블 링크 체인 999 K 루이띠에,잡화,100788,202319
24,1125 순금 g 반지 헤라 루이띠에,잡화,100788,202324
25,12 3300 개월분 박스 프리바이오틱스,건강기능,100044,200122
26,12 구이 NEW 돼지왕 더 맛있는 소들 녘 팩,농수축,100198,200669
27,12 데 프릴 보정 코튼 팬티 일리 레이 종,속옷,100195,200651
28,12 드로즈 카파 패키지 종,속옷,100604,201848
29,12 보디가드 드로즈 남성 종,속옷,100384,201253
30,12 삭루츠 TQ 바디백 크로스,잡화,100489,201473
31,12 삭루츠 백 FW 바디 TQ 크로스,잡화,100488,201467
32,12 삭루츠 백 TQ 바디 크로스,잡화,100489,201471
33,12 생 새우 산 kg 생물 신안 국내,농수축,100547,201633
34,12 세트 이 삽겹 보은의 팩 우,농수축,100002,200002
35,12 세트 카파 브라 팬티 테크 발란스,속옷,100606,201852
36,12 셰프 갈비탕 이봉원 특 뽕 팩,농수축,100496,201497
37,12 완도 입활 전복 kg 한,농수축,100548,201636
38,12 유 The 귀한 팩 열의 kg 귀 누룽지 9 삼계탕 능이,농수축,100169,200582
39,12 큐브 정품 지니어스 독일 세트 채칼 매직 종,주방,100431,201344
40,12 푸마 드로즈 코튼 라이크라 종,속옷,100610,201901
41,18 목걸이 K 베르니아 루이띠에,잡화,100786,202306
42,18 반지 K 베르니아 루이띠에,잡화,100786,202304
43,18 세트 주얼리 K 베르니아 루이띠에,잡화,100786,202308
44,18 세트 팔찌 목걸이 K 베르니아 루이띠에,잡화,100786,202307
45,18 세트 팔찌 반지 K 베르니아 루이띠에,잡화,100786,202310
46,18 코코 생쥴랑 다이아 목걸이 K 천연,잡화,100033,200051
47,18 코코 생쥴랑 세트 팔찌 다이아 목걸이 K 천연,잡화,100033,200052
48,18 코코 생쥴랑 팔찌 다이아 K 천연,잡화,100033,200053
49,18 팔찌 K 베르니아 루이띠에,잡화,100786,202309
50,19 Fall 종 실켓티 유리 코튼 5 블라우스 블렌딩 진,의류,100181,200611
51,19 SS 남성 트레킹화 월드컵,잡화,100731,202135
52,19 남성 EXR 리버시 블 FW 자켓,의류,100296,200958
53,19 남성 KSWISS 벤치 FW 코트,의류,100249,200833
54,19 남성 KSWISS 벤치 FW 코트 테크 웜,의류,100249,200834
55,19 남성 트레킹화 3 FW AAA 종,잡화,100006,200008
56,19 라벨 폴로셔츠 SS 남성 화이트 USPA 3 종,의류,100374,201198
57,19 멀티 세트 남성 EXR 3 FW 패키지 종,의류,100297,200959
58,19 모피 대동 폭스 베스트 FW,의류,100062,200152
59,19 에어 남성 러닝화 월드컵 FW,잡화,100729,202126
60,1등 18 우촌 로스 목 급 오리 팩,농수축,100053,200136
